公開日,動画ID,動画タイトル,長さ秒,視聴回数,公開日視聴回数,公開後3日視聴回数,公開後7日視聴回数,総再生時間_時間,平均視聴時間,平均視聴率_%,インプレッション数,CTR_%,Reachデータ状態,チャンネル登録者増減,Analytics最終日
2026-08-20,UsalZgg_xrc,モデルナ株急騰。患者ごとに「がんワクチン」を作る時代、誰が儲かる？｜NEXT投資ワード,740,1,1,,,0.2,0:12:20,100.01,51,0.00,更新済み,0,2026-08-19
2026-08-18,WmZQp0iNKWU,楽天が“攻撃型ドローン”を売り込む？ なぜネット通販の会社が防衛産業に入ったのか｜NEXT投資ワード,728,9,8,,,0.35,0:02:25,19.98,202,1.98,更新済み,0,2026-08-19
2026-08-16,cV2OR1RSz8o,ハッカー1人が「AI部隊」を動かす？ 台湾政府への攻撃が示す次のサイバー需要｜NEXT投資ワード,783,18,9,16,,0.6667,0:02:24,18.43,567,1.41,更新済み,0,2026-08-19
2026-08-14,NNKboIXrIYk,AIデータセンター建設ラッシュと「銅」の次のボトルネックを探る｜NEXT投資ワード,661,97,15,48,,3.7333,0:02:20,21.26,3140,2.45,更新済み,1,2026-08-19
2026-08-13,P5J1t9IV9xE,AI投資は「GPU担保」でウォール街の信用ビジネスへ？新時代のリスクと勝者｜NEXT投資ワード,626,12,3,6,11,0.7667,0:03:53,37.36,445,1.35,更新済み,0,2026-08-19
